,breweryID,abv,ibu,beerID,beer_name,style,ounces,brewery_name,city,state
1581,303,0.055,13.0,1113,Elder Betty,Hefeweizen,12.0,Magic Hat Brewing Company,South Burlington,VT
1582,303,0.051,20.0,360,#9,Fruit / Vegetable Beer,12.0,Magic Hat Brewing Company,South Burlington,VT
1583,304,0.08,80.0,1812,Quarter Mile Double IPA,American Double / Imperial IPA,12.0,Blue Hills Brewery,Canton,MA
1584,305,0.055,31.666666666666668,1811,Marblehead,American Amber / Red Ale,16.0,Night Shift Brewing,Everett,MA
1585,306,0.08800000000000001,108.0,1806,Hoptopus Double IPA,American Double / Imperial IPA,16.0,Beach Brewing Company,Virginia Beach,VA
1586,307,0.042,35.0,1805,Rodeo Rye Pale Ale,American Pale Ale (APA),12.0,Payette Brewing Company,Garden City,ID
1587,307,0.062,65.0,1048,Outlaw IPA,American IPA,12.0,Payette Brewing Company,Garden City,ID
1588,307,0.044000000000000004,14.666666666666666,1043,North Fork Lager,American Pale Lager,12.0,Payette Brewing Company,Garden City,ID
1589,307,0.048,35.0,890,Payette Pale Ale,American Pale Ale (APA),12.0,Payette Brewing Company,Garden City,ID
1590,307,0.055,25.0,775,Mutton Buster,American Brown Ale,12.0,Payette Brewing Company,Garden City,ID
1591,308,0.055,28.0,1799,Are Wheat There Yet?,American Pale Wheat Ale,12.0,Brew Bus Brewing,Tampa,FL
1592,308,0.05,21.0,1800,Rollin Dirty Red Ale,Irish Red Ale,12.0,Brew Bus Brewing,Tampa,FL
1593,308,0.07200000000000001,60.0,1801,Last Stop IPA,American IPA,12.0,Brew Bus Brewing,Tampa,FL
1594,308,0.05,32.666666666666664,1802,"You're My Boy, Blue",Fruit / Vegetable Beer,12.0,Brew Bus Brewing,Tampa,FL
1595,309,0.084,90.0,995,Winterfest,American Strong Ale,16.0,Sockeye Brewing Company,Boise,ID
1596,309,0.043,19.0,1152,Galena Golden,American Blonde Ale,12.0,Sockeye Brewing Company,Boise,ID
1597,309,0.046,12.0,1150,Woolybugger Wheat,American Pale Wheat Ale,12.0,Sockeye Brewing Company,Boise,ID
1598,309,0.052000000000000005,32.0,1151,Hell-Diver Pale Ale,American Pale Ale (APA),12.0,Sockeye Brewing Company,Boise,ID
1599,309,0.099,100.0,1160,Old Devil's Tooth,American Barleywine,12.0,Sockeye Brewing Company,Boise,ID
1600,309,0.064,55.666666666666664,1181,Sockeye Maibock,Maibock / Helles Bock,12.0,Sockeye Brewing Company,Boise,ID
1601,309,0.05,32.666666666666664,1298,Sockeye Belgian Style Summer Ale,Witbier,16.0,Sockeye Brewing Company,Boise,ID
1602,309,0.055,31.666666666666668,1424,Boise Co-Op Two Score Ale,Saison / Farmhouse Ale,16.0,Sockeye Brewing Company,Boise,ID
1603,309,0.099,75.33333333333333,1425,Barrel Aged Seven Devils Imperial Stout,American Double / Imperial Stout,12.0,Sockeye Brewing Company,Boise,ID
1604,309,0.057,27.666666666666668,1076,Power House Porter,American Porter,12.0,Sockeye Brewing Company,Boise,ID
1605,309,0.063,100.0,879,Dagger Falls IPA,American IPA,12.0,Sockeye Brewing Company,Boise,ID
1606,309,0.063,100.0,1596,Dagger Falls IPA,American IPA,12.0,Sockeye Brewing Company,Boise,ID
1607,309,0.063,100.0,1595,Dagger Falls IPA,American IPA,12.0,Sockeye Brewing Company,Boise,ID
1608,309,0.092,67.66666666666667,1655,Double Dagger Imperial IPA,American Double / Imperial IPA,12.0,Sockeye Brewing Company,Boise,ID
1609,309,0.05,32.666666666666664,1798,Thanksgiving Ale,Kölsch,12.0,Sockeye Brewing Company,Boise,ID
1610,309,0.06,40.666666666666664,1482,Socktoberfest,Märzen / Oktoberfest,16.0,Sockeye Brewing Company,Boise,ID
1611,309,0.079,48.666666666666664,1447,Hopnoxious Imperial IPA,American Double / Imperial IPA,12.0,Sockeye Brewing Company,Boise,ID
1612,310,0.05,32.666666666666664,1437,Atom Splitter Pale Ale,American Pale Ale (APA),12.0,Pine Street Brewery,San Francisco,CA
